"assignment_date","comp_roomtypename","agoda_roomtypename","hotel_id","hotel_id2","hotel_name","country_name","is_matched","levenshtein_score","dicesoresen_score","hamming_score","jaccard_score","jaro_score","jarowinkler_score","ngram_score_2","ngram_score_3","ngram_score_4","overlap_score","ratcliff_score","is_metaphone","is_nysiis","is_soundex","datadate"
assignment_date,comp_roomtypename,agoda_roomtypename,,,hotel_name,country_name,,4,0.8,,0.6666666666666666,0.7480547774665421,0.7480547774665421,0.7058823529411765,0.6875,0.6666666666666666,0.8235294117647058,0.8,false,false,false,20210202
"8/21/2019 0:00",Luxury Apartment with balcony,Luxury Apartment with Balcony,5663656,5663656,Carmel at Sorrento,Australia,1,1,0.9655172413793104,1,0.9333333333333333,0.9770114942528737,0.9862068965517242,0.9285714285714286,0.8888888888888888,0.8461538461538461,0.9655172413793104,0.9655172413793104,true,true,true,20210202
"8/21/2019 0:00",Garden View Suite - King,Garden View Suite - King,154789,154789,The LaLiT Golf & Spa Resort Goa,India,1,0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true,true,true,20210202
"8/21/2019 0:00",Bungalow Double Bed,Bungalow Double Bed,65429,65429,Mealea Resort,Cambodia,1,0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true,true,true,20210202
"8/21/2019 0:00",Grand Pool Villa,Grand Pool Villa,272410,272410,Korsiri Villas,Thailand,1,0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true,true,true,20210202
"8/21/2019 0:00",Compact Studio,Compact Studio,300906,300906,Tower Junction Motor Lodge,New Zealand,1,0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true,true,true,20210202
"8/21/2019 0:00",Double Standard Superior,Double Standard Superior,4462474,4462474,Place2stay @ Campus Hub,Malaysia,1,0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true,true,true,20210202
"8/21/2019 0:00",Triple Standard,Triple Standard,831424,831424,Leevana Hotel,Thailand,1,0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true,true,true,20210202
"8/21/2019 0:00",Premium Water Chalet,Premium Water Chalet,8262384,8262384,Alexis Private Water Chalets,Malaysia,1,0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true,true,true,20210202
"8/21/2019 0:00",Twin Room En-Suite,Twin Room En-Suite,699276,699276,Top Hostel,Cambodia,1,0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true,true,true,20210202
"8/21/2019 0:00",Sunrise Villa,Sunrise Villa,1059262,1059262,Canareef Resort Maldives,Maldives,1,0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true,true,true,20210202
"8/21/2019 0:00",Horizon,Horizon,10707,10707,Banyan Tree Bangkok,Thailand,1,0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true,true,true,20210202
